trade_date,600000.SH,600010.SH,600015.SH,600016.SH,600018.SH,600019.SH,600028.SH,600029.SH,600030.SH,600031.SH,600036.SH,600048.SH,600050.SH,600089.SH,600100.SH,600104.SH,600109.SH,600111.SH,600150.SH,600196.SH,600256.SH,600309.SH,600332.SH,600340.SH,600372.SH,600383.SH,600406.SH,600485.SH,600518.SH,600519.SH,600547.SH,600583.SH,600585.SH,600606.SH,600637.SH,600690.SH,600703.SH,600795.SH,600832.SH,600837.SH,600887.SH,600893.SH,600919.SH,600958.SH,600999.SH,601006.SH,601088.SH,601117.SH,601118.SH,601166.SH,601169.SH,601186.SH,601198.SH,601211.SH,601229.SH,601288.SH,601299.SH,601318.SH,601328.SH,601336.SH,601377.SH,601390.SH,601398.SH,601601.SH,601628.SH,601668.SH,601669.SH,601688.SH,601727.SH,601766.SH,601788.SH,601800.SH,601818.SH,601857.SH,601878.SH,601881.SH,601901.SH,601919.SH,601985.SH,601988.SH,601989.SH,601998.SH,603993.SH
2015/1/5,125.7093427,25.7626773,36.4508986,197.458338,8.2533208,15.1370586,17.080665,9.0627875,171.4186552,453.554594,69.1858044,208.6546,7.991518,420.75904,246.754984,165.5591936,163.7940905,367.644498,121.3024956,286.642923,325.640762,634.678418,38.3915554,351.491328,81.9398555,149.8718,371.27181,111.7746668,349.012805,1275.071996,233.50977,201.33846,88.8706037,1579.80687,121.9223642,336.435698,174.447805,1087.7386,183.725904,491.610396,964.188288,94.5977824,,,41.4950841,15.571024,28.0825776,10.18514,9.16194,57.8521223,18.4471235,16.87905,,,,4.7824438,9.0404655,82.8590336,10.3439715,50.6790955,31.300496,9.9752554,7.1660226,37.5411712,38.5462448,8.3645172,9.145296,26.1324063,9.259536,7.7944464,31.0140384,15.488406,5.7793272,14.7557278,,,13.7771504,7.8424576,,6.339164,15.7764276,10.3667904,10.1312415
2015/1/6,126.1786993,25.1081982,35.804797,190.864182,8.3527584,14.5291446,16.74575,9.2249125,171.6659412,440.89305,68.1073686,200.06294,7.854781,441.796992,247.779714,172.9189376,160.4255745,357.442912,123.5312364,298.304771,321.23525,645.193481,38.3915554,335.078976,84.6012005,139.83801,384.15975,112.4236992,364.140295,1245.543615,236.140866,195.171336,86.4422311,1579.80687,120.9746964,342.49457,183.973965,1060.82548,187.817501,484.199184,968.076144,98.8014152,,,40.6789719,16.9334886,28.7619948,9.966887,9.4405125,58.2636371,18.095909,17.7117498,,,,4.856209,9.9433545,80.2152908,10.123887,48.2069445,30.592905,10.0080328,7.222671,35.3753344,36.635328,8.0568306,8.9891568,26.4195756,9.433424,8.5716704,30.2453715,15.21387,5.6736078,14.5075238,,,13.349162,8.290896,,6.539952,16.161627,10.0745892,10.4258155
20150107,123.6754641,25.5246849,35.3740626,192.512721,8.2906099,14.3062428,17.176355,9.3221875,178.787778,445.41503,67.0289328,200.06294,8.143448,441.468274,241.221442,172.8488448,163.7940905,358.863386,121.2369444,292.606368,319.766746,648.698502,38.3915554,334.686336,83.152246,138.31389,380.19423,112.8469812,360.034262,1214.756028,259.711101,193.357476,86.2855619,1738.12926,121.072731,336.604,180.639809,1054.0972,185.045774,500.462677,938.593236,99.4431912,,,41.4388005,16.4190887,28.7619948,10.133175,9.3167025,56.9605069,17.72797,17.4191796,,,,4.7824438,10.9388475,79.8671436,9.9184748,48.6972885,31.258873,9.9752554,7.1376984,35.2286892,37.3816032,8.091018,9.1006848,28.5999351,10.37894,9.4266168,30.9360577,16.106112,5.5913816,15.3762378,,,13.4306836,8.2178944,,6.511268,16.0276446,10.0491804,10.7835125
20150108,119.2948025,25.1081982,34.0549385,186.83442,8.3651881,13.7591202,16.3869125,8.88445,174.33663,424.161724,64.5817131,190.59458,7.657272,435.222632,243.88574,169.2040192,158.320252,347.241326,118.8443256,296.449477,319.032494,654.630076,38.3915554,329.8176,84.0689315,133.48751,374.24595,112.6494496,360.89869,1207.326713,252.804474,186.283422,86.2072273,1700.54193,119.7002466,333.911168,181.116117,993.54268,181.614112,480.287711,927.901632,100.437944,,,39.4829454,16.3217698,28.1454866,9.540774,9.1309875,54.5600039,17.159337,16.4401947,,,,4.5857366,12.03852,77.3321968,9.5810119,46.317077,30.1558635,9.3743364,6.8402943,33.8750412,36.1604256,7.5896028,8.5207392,26.8131039,10.75932,10.3703888,29.7774873,15.190992,5.344703,15.1528542,,,12.7071794,7.8320288,,6.210086,15.324237,9.5791176,10.4889385
20150109,120.7028723,24.8702058,34.5664356,188.21856,8.1911723,13.4348994,16.0998425,8.88445,172.9023712,416.474358,65.1624093,187.26312,7.566114,423.717502,242.451118,166.4003072,157.3096972,340.26809,119.467062,292.341326,313.158478,637.374588,38.3915554,340.183296,83.329669,130.18525,376.476555,109.912226,354.847694,1198.197469,247.76154,189.366984,86.4813984,1670.92767,118.948648,329.87192,184.807504,977.84336,178.974372,483.375716,912.02622,97.8066624,,,38.5683369,15.7378564,27.1263608,9.301735,8.8833675,55.4859122,17.928664,16.541469,,,,4.6226192,13.242372,79.2470064,9.536995,47.8187555,29.9061255,9.4289654,6.9111048,34.8789968,38.3087936,7.578207,8.6099616,26.5365705,10.226788,11.4029864,29.6549462,16.197624,5.403436,14.9791114,,,13.1045972,7.6025952,,6.410874,14.8385508,9.655344,10.415295
20150112,119.0601242,24.8107077,34.0818594,184.343472,7.8431407,12.867513,15.7170825,9.14385,165.8299916,401.551824,64.706148,181.65224,7.368605,418.786732,237.942306,172.4983808,156.8044198,340.91376,116.3861556,291.678721,310.588596,657.326246,38.3915554,336.728064,82.619977,130.18525,385.894665,115.0198288,368.678542,1173.768873,251.05041,182.474316,87.0297406,1582.08489,121.1380874,343.33608,200.406591,930.7454,174.090853,468.553292,912.674196,98.031284,,,37.9351464,15.5432186,26.2078894,8.823657,9.1722575,54.9715187,18.296603,15.7987908,,,,4.5119714,12.5362665,81.7819532,9.5076504,47.788109,29.177723,8.8717496,6.8261322,35.1158852,39.3716704,7.2477288,8.2753776,25.8665088,9.56384,11.2475416,30.7578161,15.877332,5.3094632,14.4206524,,,13.1657384,7.2375872,,6.31048,14.2188822,9.4774824,10.2154055
20150113,118.7472198,24.5727153,33.8664922,181.575552,7.8680001,12.8269854,15.741005,9.1600625,159.1038124,402.004022,64.0010169,180.07418,7.368605,424.04622,248.599498,176.283392,158.5728907,342.075966,116.5500336,294.594183,319.39962,664.336288,42.2292948,346.151424,82.2947015,129.04216,392.58648,121.1433084,368.030221,1164.010026,244.911186,181.386,86.7164022,1711.93203,121.399513,352.929294,207.908442,939.71644,175.54271,449.407661,918.829968,101.5289632,,,36.7109781,15.6544402,26.044326,8.865229,9.223845,54.4914181,18.0791845,16.0238448,,,,4.4996772,12.686748,81.7275552,9.5223227,46.480525,28.262017,8.8717496,6.8261322,34.800034,38.5462448,7.2021456,8.1638496,25.4091651,9.846408,11.7027728,29.7663472,15.511284,5.3564496,14.4454728,,,12.9517442,7.2271584,,6.367848,14.5203426,9.4139604,9.9208315
20150114,121.1722289,23.8587381,34.4856729,183.420832,7.706414,12.6243474,15.741005,8.8358125,161.5272152,393.864458,65.1624093,182.70428,7.247061,413.527244,252.903364,170.5357824,158.1518262,325.030278,116.189502,287.968133,314.259856,636.026503,42.696621,352.19808,80.7570355,130.56628,384.407595,118.3496472,368.894649,1153.306775,236.140866,182.655702,85.9330562,1649.28648,119.5368556,352.59269,208.027519,932.98816,173.694892,458.877543,891.938964,101.0476312,,,36.5984109,15.4180943,25.8430172,8.875622,9.0278125,55.4516193,18.2464295,15.6862638,,,,4.5857366,12.594144,80.345846,9.7277349,46.296646,28.4909435,8.6969368,6.9252669,34.96924,37.2346096,7.2021456,8.4315168,26.6003859,9.955088,11.3474704,30.1005502,14.664798,5.4504224,14.0359362,,,13.1555482,7.03944,,6.582978,14.6710728,9.7315704,9.6472985
20150115,126.1004732,24.5727153,36.5316613,188.772144,7.8680001,13.0498872,16.506525,8.8682375,165.0386764,408.334794,67.1118894,197.2575,7.550921,422.731348,254.747878,172.9189376,161.6045551,330.453906,118.2215892,290.618553,319.766746,634.139184,41.6911616,369.47424,81.1710225,136.53575,383.16837,118.7164916,366.085258,1171.502302,240.526026,188.278668,86.16806,1659.53757,120.5498798,353.097596,205.526902,964.3868,177.522515,475.346903,900.362652,101.561052,,,38.0336427,15.7934672,27.0382882,9.156233,9.182575,57.7835365,19.0826545,16.5302163,,,,4.7455612,13.8558735,85.8074052,10.0505255,50.9242675,29.718822,9.2432268,7.2085089,37.845742,40.9207568,7.578207,8.6099616,27.6746118,10.0529,12.4799968,30.746676,15.190992,5.638368,15.2521358,,,13.7465798,7.4148768,,6.984554,14.8385508,10.0618848,9.763024
20150116,128.8383867,25.4056887,36.5047404,188.403088,7.8928595,12.9890958,16.5782925,8.787175,162.7636452,406.9782,67.3607592,194.10138,7.642079,433.90776,265.40507,174.180608,159.7518713,332.003514,119.2048572,297.244603,321.602376,651.394672,44.0702768,371.751552,84.0689315,134.50359,395.06493,115.5842048,370.839612,1171.754143,257.62815,186.646194,85.4630486,1682.31777,126.2358866,357.473448,207.789365,962.14404,184.7818,474.111701,908.462352,101.88194,,,37.5833739,15.9324942,27.2773424,9.166626,9.3786075,57.5777791,19.2833485,16.7327649,,,,4.8439148,15.2449335,85.1763884,10.5787283,53.774392,29.219346,9.3087816,7.2934815,38.0487892,41.610496,7.6123944,8.5988088,27.3555348,10.37894,13.7235552,30.1228304,15.09948,5.6853544,15.636852,,,13.9198132,7.3731616,,7.142316,15.2237502,10.0110672,10.09968
