trade_date,000903.SH
20140102,2142.435
20140103,2110.908
20140106,2070.219
20140107,2066.419
20140108,2068.623
20140109,2053.806
20140110,2041.776
20140113,2034.847
20140114,2046.149
20140115,2037.157
20140116,2041.38
20140117,2015.101
20140120,2003.714
20140121,2021.511
20140122,2072.627
20140123,2054.727
20140124,2062.175
20140127,2031.875
20140128,2041.066
20140129,2046.166
20140130,2019.939
20140207,2020.602
20140210,2063.107
20140211,2086.315
20140212,2088.073
20140213,2087.755
20140214,2094.563
20140217,2102.175
20140218,2065.096
20140219,2099.915
20140220,2080.737
20140221,2059.173
20140224,2006.012
20140225,1962.536
20140226,1968.956
20140227,1969.662
20140228,1990.219
20140303,1990.303
20140304,1986.324
20140305,1966.902
20140306,1978.13
20140307,1974.776
20140310,1916.104
20140311,1925.871
20140312,1932.608
20140313,1957.816
20140314,1940.119
20140317,1953.073
20140318,1943.035
20140319,1926.342
20140320,1903.48
20140321,1976.932
20140324,1992.028
20140325,1982.713
20140326,1978.409
20140327,1971.721
20140328,1980.377
20140331,1977.912
20140401,1991.196
20140402,2012.061
20140403,1993.924
20140404,2010.748
20140408,2065.735
20140409,2061.832
20140410,2105.036
20140411,2102.399
20140414,2092.483
20140415,2049.025
20140416,2051.922
20140417,2042.778
20140418,2041.294
20140421,2006.053
20140422,2021.686
20140423,2022.216
20140424,2021.223
20140425,2002.834
20140428,1979.991
20140429,2000.926
20140430,2000.624
20140505,1993.796
20140506,1993.737
20140507,1977.936
20140508,1977.304
20140509,1978.212
20140512,2017.73
20140513,2013.503
20140514,2010.866
20140515,1991.396
20140516,1994.182
20140519,1961.277
20140520,1960.803
20140521,1976.987
20140522,1974.572
20140523,1990.165
20140526,1994.017
20140527,1987.559
20140528,2007.536
20140529,1998.68
20140530,1997.897
20140603,1993.127
20140604,1974.447
20140605,1996.313
20140606,1979.99
20140609,1982.533
20140610,2007.928
20140611,2003.529
20140612,1996.985
20140613,2021.218
20140616,2036.854
20140617,2013.882
20140618,2003.12
20140619,1977.985
20140620,1984.521
20140623,1976.245
20140624,1984.468
20140625,1973.274
20140626,1985.262
20140627,1982.075
20140630,1993.472
20140701,1987.473
20140702,1992.399
20140703,1999.226
20140704,2001.319
20140707,2002.213
20140708,2004.446
20140709,1976.578
20140710,1970.092
20140711,1971.395
20140714,1991.577
20140715,1997.479
20140716,1995.081
20140717,1982.3
20140718,1991.419
20140721,1995.258
20140722,2018.243
20140723,2032.153
20140724,2077.454
20140725,2096.581
20140728,2163.484
20140729,2167.467
20140730,2155.197
20140731,2182.764
20140801,2163.66
20140804,2211.153
20140805,2198.781
20140806,2184.706
20140807,2150.511
20140808,2153.024
20140811,2184.379
20140812,2169.529
20140813,2171.929
20140814,2152.473
20140815,2171.593
20140818,2176.888
20140819,2172.502
20140820,2162.54
20140821,2148.119
20140822,2157.792
20140825,2133.869
20140826,2123.02
20140827,2123.908
20140828,2107.825
20140829,2134.178
20140901,2144.292
20140902,2172.72
20140903,2194.717
20140904,2211.253
20140905,2235.585
20140909,2223.585
20140910,2205.267
20140911,2194.12
20140912,2206.587
20140915,2198.386
20140916,2166.766
20140917,2176.681
20140918,2181.68
20140919,2195.139
20140922,2148.518
20140923,2165.551
20140924,2204.932
20140925,2197.373
20140926,2193.976
20140929,2200.077
20140930,2199.076
20141008,2222.893
20141009,2229.029
20141010,2214.322
20141013,2198.075
20141014,2189.54
20141015,2205.354
20141016,2196.799
20141017,2196.64
20141020,2202.252
20141021,2185.353
20141022,2179.993
20141023,2164.369
20141024,2156.288
20141027,2125.876
20141028,2166.782
20141029,2198.796
20141030,2216.308
20141031,2263.765
20141103,2259.986
20141104,2258.739
20141105,2247.926
20141106,2245.669
20141107,2248.068
20141110,2312.048
20141111,2324.971
20141112,2352.287
20141113,2341.852
20141114,2347.16
20141117,2321.411
20141118,2285.478
20141119,2275.811
20141120,2278.309
20141121,2323.969
20141124,2384.328
20141125,2415.319
20141126,2461.012
20141127,2497.363
20141128,2570.578
20141201,2584.497
20141202,2702.263
20141203,2734.484
20141204,2882.081
20141205,2922.284
20141208,3059.987
20141209,2913.357
20141210,3016.203
20141211,2957.763
20141212,2957.723
20141215,2972.92
20141216,3076.748
20141217,3167.472
20141218,3157.54
20141219,3206.92
20141222,3254.839
20141223,3191.661
20141224,3068.601
20141225,3183.713
20141226,3304.46
20141229,3329.573
20141230,3360.928
20141231,3440.6
20150105,3551.909
20150106,3534.738
20150107,3538.264
20150108,3439.101
20150109,3441.214
20150112,3406.257
20150113,3393.349
20150114,3388.049
20150115,3507.541
20150116,3528.496
20150119,3221.499
20150120,3236.217
20150121,3400.475
20150122,3405.991
20150123,3423.606
20150126,3441.571
20150127,3395.855
20150128,3345.453
20150129,3298.043
20150130,3251.422
20150202,3157.278
20150203,3245.495
20150204,3211.562
20150205,3175.342
20150206,3131.178
20150209,3174.538
20150210,3228.357
20150211,3243.835
20150212,3248.296
20150213,3266.732
20150216,3273.484
20150217,3296.195
